date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:20:07	404617/404617	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202020%2008:50:07%20GMT	https://www.datacaptive.com/data-appending/social-profile-appending/	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/data-appending/social-profile-appending/index.html	(from https://www.datacaptive.com/)
14:20:08	406688/406688	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202020%2008:50:08%20GMT	https://www.datacaptive.com/data-appending/email-appending/	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/data-appending/email-appending/index.html	(from https://www.datacaptive.com/)
14:20:08	32244/32244	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Mar%202020%2010:15:16%20GMT	https://www.datacaptive.com/wp-content/uploads/2020/02/verifying-data.jpg	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-content/uploads/2020/02/verifying-data.jpg	(from https://www.datacaptive.com/)
14:20:09	404957/404957	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202020%2008:50:09%20GMT	https://www.datacaptive.com/data-appending/phone-appending-services/	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/data-appending/phone-appending-services/index.html	(from https://www.datacaptive.com/)
14:20:09	12485/12485	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Mar%202020%2010:16:18%20GMT	https://www.datacaptive.com/wp-content/uploads/2020/02/home-customersupport.jpg	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-content/uploads/2020/02/home-customersupport.jpg	(from https://www.datacaptive.com/)
14:20:10	442234/442234	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202020%2008:50:10%20GMT	https://www.datacaptive.com/data-verification-services/	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/data-verification-services/index.html	(from https://www.datacaptive.com/)
14:20:11	8240/8240	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Mar%202020%2010:16:25%20GMT	https://www.datacaptive.com/wp-content/uploads/2020/02/home-increase-operational.jpg	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-content/uploads/2020/02/home-increase-operational.jpg	(from https://www.datacaptive.com/)
14:20:11	403793/403793	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202020%2008:50:10%20GMT	https://www.datacaptive.com/data-verification-services/email-verification/	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/data-verification-services/email-verification/index.html	(from https://www.datacaptive.com/)
14:20:11	403554/403554	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Mar%202020%2008:50:11%20GMT	https://www.datacaptive.com/data-verification-services/phone-verification/	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/data-verification-services/phone-verification/index.html	(from https://www.datacaptive.com/)
14:20:12	12029/12029	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Mar%202020%2010:16:22%20GMT	https://www.datacaptive.com/wp-content/uploads/2020/02/home-segmented-information.jpg	C:/Users/lakshmi%20kanth/Desktop/wexinfinity%20files/datacaptive/www.datacaptive.com/wp-content/uploads/2020/02/home-segmented-information.jpg	(from https://www.datacaptive.com/)
